,type_2011,type_2012,type_2013,type_2014,type_2015,type_2016,type_2017,type_2018,type_2019,type_2020,type_2021,type_2022
0,TV dizisi,Konu,Dizi,Boyut,TV dizisi,Konu,İnsan dili,Televizyon dizisi,Televizyon dizisi,Konu,,Konu
1,Youtube kanalı,Psy tarafından yazılan şarkı,TV kanalı,Ulaşım şekli,Video oyunu,TV programı,TV programı,,"İstanbul, Türkiye'de bir rasathane",Virüs,,Kitap
2,Video oyunu,,Bitki,Web sitesi,Video oyunu,Gülden Karaböcek'in şarkısı,Voleybolcu,Oyuncu,Konu,Virüs,Kripto para,İsveç'te bir şehir
3,Yazılım,Konu,Video oyunu,Yazılım,Video oyunu,,Çağatay Akman'ın şarkısı,,,,Yazılım,Futbol ligi
4,Türkiye,Konu,Web sitesi,Şirket,Konu,,,Futbol ligi,Konu,,Konu,
5,Konu,Şirket,Gazete,Yazılım,Konu,Bilgisayar,Konu,Yazılım,,Türkiye Sağlık Bakanı,Futbol takımı,Televizyon kanalı
6,Video oyunu,,Gazete,Konu,2015 yapımı film,Banka,,,Şirket,,Youtuber,Bilgisayar
7,Özel şirket,İnternet sitesi,Konu,Futbol takımı,,,Konu,Dizi,İnternet sitesi,,,Konu
8,,TV programı,Konu,Yazılım,TV kanalı,"Erzurum, Türkiye'de bir üniversite bölümü",Şarkı,Yazılım,,Yazılım,Konu,İnternet sitesi
9,,Video oyunu,Yazılım,Yazılım,Müzisyen,Video oyunu,Devlet dairesi,Konu,Konu,,"İstanbul, Türkiye'de bir finans kurumu",Eski futbolcu
10,İnternet sitesi,,Yazılım,Video oyunu,Şirket,,"Cary, Kuzey Carolina'da bir spor kulübü",Yazılım,Banka,,Spor ligi sezonu,Konu
11,Şirket,Şirket,Konu,Eski Brezilya Spor Bakanı,Kaan Gülten tarafından yazılan kitap,,,,Sosyal ağ hizmetleri,,,Şirket
12,Konu,Eski Brezilya Spor Bakanı,Web sitesi,Konu,Video oyunu,Şirket,Konu,,Konu,Şirket,,
13,Şirket,Youtube kanalı,Yazılım,Şirket,"Ankara, Türkiye'de bir medya şirketi",Şirket,Konu,TV dizisi,,İnternet sitesi,Kripto para,
14,,,Sosyal ağ,Futbol takımı,İnternet sitesi,,Banka,Para Birimi,Otomobil markası,Konu,,Konu
15,,,İnternet sitesi,Dizi,Televizyon dizisi,Dizi,Konu,,Yazılım,Konu,,Futbol takımı
16,Konu,Konu,,Taşıma hizmeti türü,,,Konu,Türkiye,Kitap,Konu,,Futbol ligi
17,Konu,Konu,TV programı,TV kanalı,Konu,,Futbol ligi,Kaan Gülten tarafından yazılan kitap,,Şarkı,,"İstanbul, Türkiye'de bir kule"
18,Kitap,Şirket,Yazılım,,Gazete,İnternet sitesi,İnternet sitesi,Konu,Şirket,Televizyon kanalı,Konu,Türkiye'de bir otobüs firması
19,"Karaman, Türkiye'de bir mücevher toptancısı",,,Konu,Para Birimi,,Şirket,Şirket,Şarkı,,Para Birimi,Konu
20,Video oyunu,Web sitesi,Sosyal ağ,Havayolu şirketi,TV programı,Şarkı,Konu,Yazılım,,,,Kitap
21,Element,TV kanalı,"Karamürsel, Türkiye'de bir gazete yayıncısı",TV dizisi,Konu,,Şirket,,Şirket,Türkiye,Konu,"Ankara, Türkiye'de bir devlet dairesi"
22,,Yazılım,Konu,Yazılım,Konu,Video oyunu,Para Birimi,,TV kanalı,"İstanbul, Türkiye'de bir rasathane",Sosyal ağ hizmetleri,Olay
23,Video oyunu,Konu,İndirilebilir Yazılım,Sosyal ağ,2021 yapımı film,,,Konu,Konu,TV ağı,,
24,Şirket,,,Konu,,,Web sitesi,Yazılım,Konu,TV kanalı,Yazılım,Konu
