,query_2011,value_2011,query_2012,value_2012,query_2013,value_2013,query_2014,value_2014,query_2015,value_2015,query_2016,value_2016,query_2017,value_2017,query_2018,value_2018,query_2019,value_2019,query_2020,value_2020,query_2021,value_2021,query_2022,value_2022
0,muhteşem yüzyıl,5950,ask.fm,9200,güneşi beklerken,7250,zaman,48500,kiralık aşk,11950,letgo,2650,puhu tv,4800,sen anlat karadeniz,11700,mucize doktor,6350,sokağa çıkma yasağı,10400,dizipal,4850,brent petrol,2350
1,acunn,4950,gangnam style,6500,halk tv,1800,araba,39850,agar io,6100,bir garip aşk,1250,isimsizler,4250,e devlet soy ağacı,2950,kandilli rasathanesi,400,koronavirüs,9800,_shopping,2500,disney plus,1800
2,bombom,3400,hahasport,2100,bicaps,1200,meb,29950,agario,3550,kısmetse olur,550,milli piyango 2017,1650,facebook hoşgeldin,750,benz,350,coronavirus,5450,dogecoin,2350,öba,1800
3,morpa kampüs,600,yandex,1750,legend online,600,canlı tv,20400,agarz,2500,edevlet giriş,500,gece gölgenin rahatına bak,450,çukur son bölüm,750,son depremler,200,yarınki hava durumu,5400,exxen,1650,dünya kupası,650
4,e devlet,550,tubidy,800,outlook,450,avea,20150,facebook giriş yap,1000,kismetse olur,400,içerde son bölüm,250,dünya kupası,700,seçim sonuçları,190,corona belirtileri,3350,binance,1400,hektaş hisse,250
5,grupfoni,550,vip dükkan,550,amk,350,mp3 indir,20150,fuat avni,300,iphone 7,300,instagram giriş,250,youtube mp3 donustusturucu,600,beinsport,180,fahrettin koca,2450,selçukspor,850,trt1 canlı,170
6,wolfteam,500,dizimag,500,sözcü,300,sgk,19800,hızlı ve öfkeli 7,300,garanti internet bankacılığı,300,son depremler,200,ceyrek altin ne kadar,450,netflix,160,hes kodu alma,2100,sedat peker,800,iphone 13 pro max,170
7,trendyol,500,youtube mp3,450,kliksa,300,galatasaray,19750,dizibox,300,fesbuk giriş,300,haber 7,120,çukur,350,e nabız,150,savefrom.net,1000,bitcoin kaç dolar,550,weather,140
8,edevlet,450,kim milyoner olmak ister,300,tozlu giyim,200,my,14800,tv8,250,facebook giris,300,whatsapp web,110,canlı döviz,250,süperlig,120,zoom,1000,coinmarketcap,550,e devlet giriş,130
9,markofoni,250,transformice,300,youtube dönüştürücü,170,youtube dönüştürücü,14350,niloya,250,android oyun club,250,hm,110,dolar kuru,250,justin tv,110,eba giriş,900,paribu,500,sasa hisse,130
10,sahibinden com,200,arsız bela,300,youtube mp3 dönüştürücü,150,minecraft,13700,eba,200,hint dizileri,250,netspor,110,döviz kurları,200,ziraat bankası,90,eba öğrenci giriş,800,euro 2020,450,obilet,120
11,limango,200,morhipo,300,ask fm,140,pepe,13700,facebook giriş,200,eşkiya dünyaya hükümdar olmaz son bölüm,250,edevlet giriş,100,hepsi burada,200,twitter türk,90,eba öğrenci girişi,650,selçuksports,400,vavacars,120
12,ttnet müzik,200,pepe,250,odatv,140,milli piyango,13650,happy wheels,200,eba,250,modaselvim,90,facebok giriş,200,ptt kargo,90,eba,600,taraftarium 24,400,dolar/tl,110
13,twitter,170,acunn,190,mhrs,120,ttnet,13450,onedio,190,türk telekom,250,süper lig puan durumu,80,ufak tefek cinayetler,200,aras kargo takip,80,e nabız,300,bitcoin,350,fed faiz kararı,110
14,markafoni,160,f acebook,170,foursquare,120,fenerbahçe,13150,e devlet giriş,180,tjk sonuç,200,garanti internet bankacılığı,80,dolar,150,bmw,80,xiaomi redmi note 8,190,postegro,300,ssstiktok,110
15,öyle bir geçer zamanki,150,www.google.com,160,omegle,100,kiraz mevsimi,12600,sungurlar,170,eşkiya dünyaya hükümdar olmaz,180,trivago,80,altın fiyatları bugün,150,namaz vakitleri,70,gram altın,170,1 dolar kaç tl,300,liverpool,100
16,friv,150,pepee,120,dizimag,100,metro,12150,faceboook,170,ziraat internet bankacılığı,170,dolar kuru,70,bein sport,140,altın in,70,iphone 11,160,selcuksports,250,superlig,100
17,yabancı dizi izle,150,lcw,110,o ses türkiye,90,fox,11900,e okul veli,160,ösym giriş,160,süper lig,70,facebook giriş,140,taraftarium,70,whatsapp web,160,dolar/tl,250,e devlet giris,80
18,you tube,120,twitter,110,sign in,90,hd film izle,11850,sozcu,130,e devlet giriş,160,investing,70,döviz,140,huawei,70,tv8 canlı,130,aöl,200,otobüs bileti,80
19,altın fiyatları,120,hd film izle,100,hastane randevu,90,ssk,11800,dolar,120,gmail oturum aç,150,zara,60,gitti gidiyor,140,web whatsapp,70,interaktif vergi dairesi,130,dolar tl,200,1001 oyun,80
20,ateş ve su,110,odnoklassniki,90,tumblr,90,pegasus,11700,survivor,120,whatsapp web,150,çiçek sepeti,60,anlık altın,140,kredi hesaplama,70,altın yorum,130,dolar kaç tl,190,o bilet,70
21,altın,110,star tv,90,aktif haber,80,kurtlar vadisi pusu,11650,internethaber,120,hotmail oturum aç,130,decathlon,60,dolar kaç tl,120,xiaomi,70,e-devlet,130,1 dolar,180,osym,70
22,sünger bob izle,110,canlı skor,90,tubidy,80,mp3 dönüştürücü,11450,ntv spor,110,agarz,120,dolar,50,milli piyango sorgula,120,fox tv,60,kandilli rasathanesi,120,tradingview,170,jojobet,60
23,iki kişilik oyunlar,90,friv,80,skype,70,tumblr,11250,son dakika haberler,90,yutup,120,eba giriş,50,euro kuru,120,gratis,60,bloomberght,120,taraftarium,170,selçuksports,60
24,youtube,90,faceboook,80,google,70,meteoroloji,10850,istanbul hava durumu,90,fecebok,120,odatv,50,serbest piyasa döviz,120,trt spor,60,tv8,110,mhrs randevu,170,modamızbir,60
