,query_2011,type_2011,value_2011,query_2012,type_2012,value_2012,query_2013,type_2013,value_2013,query_2014,type_2014,value_2014,query_2015,type_2015,value_2015,query_2016,type_2016,value_2016,query_2017,type_2017,value_2017,query_2018,type_2018,value_2018,query_2019,type_2019,value_2019,query_2020,type_2020,value_2020,query_2021,type_2021,value_2021,query_2022,type_2022,value_2022
0,video,TV ağı,67200,spor,Konu,33800,güneşi beklerken,Dizi,7250,kiraz mevsimi,Dizi,13650,kiralık aşk,TV dizisi,12250,letgo,Konu,2500,puhu tv,İnsan dili,4850,youtube,Şirket,234900,seçim sonuçları,Konu,190.0,koronavirüs,Virüs,9900,dizipal,,5150,brent petrol,Konu,2450
1,türkiye,Orta Doğu'da bir ülke,42150,ben,Amerikan futbol takımı,32000,halk tv,TV kanalı,1750,kardeş payı,Komedi dizisi,7100,agar io,Video oyunu,5600,bir garip aşk,TV programı,1250,isimsizler,TV programı,4200,facebook,Yazılım,219200,netflix,İnternet sitesi,190.0,yarınki hava durumu,,5400,_shopping,,2400,öba,İsveç'te bir şehir,1900
2,zaman,Boyut,36350,altın,Element,28900,bicaps,Bitki,1150,kaçak gelinler,TV dizisi,5950,agario,Video oyunu,3550,edevlet giriş,,600,milli piyango 2017,Voleybolcu,1700,hava durumu,Konu,216450,son depremler,,170.0,coronavirus,Virüs,5200,dogecoin,Kripto para,2300,disney plus,Kitap,1750
3,altın,Element,35750,gazete,Konu,25550,legend online,Video oyunu,550,arkadaşım hoşgeldin,TV programı,4650,agarz,Video oyunu,2650,kısmetse olur,Gülden Karaböcek'in şarkısı,550,gece gölgenin rahatına bak,Çağatay Akman'ın şarkısı,450,son dakika,Konu,100900,justin tv,Konu,100.0,fahrettin koca,Türkiye Sağlık Bakanı,2450,exxen,Yazılım,1650,dünya kupası,Futbol ligi,550
4,sözlük,İnternet sitesi,35700,trt,TV kanalı,17100,outlook,Web sitesi,450,recep ivedik 4,2014 yapımı film,1850,facebook giriş yap,Konu,1000,kismetse olur,,400,içerde son bölüm,,250,sahibinden,İnternet sitesi,94550,aras kargo takip,,80.0,hes kodu alma,,2150,binance,Konu,1400,hektaş hisse,,250
5,çeviri,Konu,35050,gezginler,Film,16800,amk,Gazete,350,onedio,"Ankara, Türkiye'de bir medya şirketi",1200,fuat avni,Konu,300,iphone 7,Bilgisayar,350,instagram giriş,Konu,200,haber,Konu,94000,ptt kargo,Konu,80.0,savefrom.net,,950,selçukspor,Futbol takımı,850,iphone 13 pro max,Bilgisayar,190
6,gazete,Konu,34600,ekşi,İnternet sitesi,15150,kliksa,Konu,300,ysk,Mutfak eşyaları,950,hızlı ve öfkeli 7,2015 yapımı film,300,garanti internet bankacılığı,Banka,300,son depremler,,190,dolar,Para Birimi,84800,namaz vakitleri,Yazılım,80.0,eba giriş,,900,sedat peker,Youtuber,800,trt1 canlı,Televizyon kanalı,160
7,you,Dizi,34550,gs,Futbol takımı,13150,sözcü,Gazete,300,irem derici,Şarkıcı,400,dizibox,,300,fesbuk giriş,,300,hm,Devlet dairesi,110,çeviri,Konu,80950,ziraat bankası,Banka,70.0,eba öğrenci giriş,,850,bitcoin kaç dolar,,600,weather,Konu,150
8,spor,Konu,31350,atv,Türkiye,12600,tozlu giyim,Konu,250,dailymotion,Şirket,300,niloya,Müzisyen,250,hint dizileri,,250,edevlet giriş,,110,google,Şirket,79400,bmw,Otomobil markası,70.0,eba öğrenci girişi,,650,coinmarketcap,Konu,550,e devlet giriş,İnternet sitesi,140
9,tv izle,,28450,mario,Şirket,11950,youtube dönüştürücü,Yazılım,170,izlesene,Web sitesi,250,tv8,TV kanalı,250,eba,Şirket,250,netspor,"Cary, Kuzey Carolina'da bir spor kulübü",110,haberler,Konu,77050,altın in,Kitap,70.0,eba,Şirket,650,paribu,"İstanbul, Türkiye'de bir finans kurumu",500,obilet,Konu,130
10,kurtlar vadisi,Dizi,26750,muhteşem yüzyıl,TV dizisi,10850,youtube mp3 dönüştürücü,Yazılım,160,izlesene müzik,,250,eba,Şirket,200,android oyun club,Video oyunu,250,garanti internet bankacılığı,Banka,100,instagram,Yazılım,69950,taraftarium,,70.0,e nabız,İnternet sitesi,300,taraftarium 24,,450,vavacars,Şirket,130
11,canlı tv,Yazılım,23300,full film izle,Yazılım,9700,ask fm,Konu,140,medcezir,Dizi,200,onedio,"Ankara, Türkiye'de bir medya şirketi",200,facebook giris,"Erzurum, Türkiye'de bir üniversite bölümü",250,haber 7,Konu,100,mynet,İnternet sitesi,66800,farmasi,Konu,70.0,brawl stars,Video oyunu,250,euro 2020,Spor ligi sezonu,450,sasa hisse,Eski futbolcu,130
