query_2011,type_2011,value_2011,query_2012,type_2012,value_2012,query_2013,type_2013,value_2013,query_2014,type_2014,value_2014,query_2015,type_2015,value_2015,query_2016,type_2016,value_2016,query_2017,type_2017,value_2017,query_2018,type_2018,value_2018,query_2019,type_2019,value_2019,query_2020,type_2020,value_2020,query_2021,type_2021,value_2021,query_2022,type_2022,value_2022
muhteşem yüzyıl,TV dizisi,5650,ask.fm,Ask.fm,8700,güneşi beklerken,Dizi,7250,kiraz mevsimi,Dizi,12650,kiralık aşk,TV dizisi,12200,letgo,İkinci el,2550,puhu tv,İnsan dili,5150,sen anlat karadeniz,Televizyon dizisi,11350,mucize doktor,Televizyon dizisi,6550,sokağa çıkma yasağı,Hafta,10650,dizipal,Yucem'in şarkısı,5300,brent petrol,Brent Petrol,2450
acunn,Youtube kanalı,5050,gangnam style,Psy tarafından yazılan şarkı,6500,halk tv,TV kanalı,1850,kaçak gelinler,TV dizisi,5300,agar io,Video oyunu,6100,bir garip aşk,TV programı,1350,milli piyango 2017,Voleybolcu,1550,e devlet soy ağacı,Öğrenme,2700,ekrem imamoğlu,İstanbul Büyükşehir Belediye Başkanı,1650,koronavirüs,Virüs,10600,_shopping,Çalışma alanı,2400,disney plus,Kitap,1850
bombom,Video oyunu,3650,hahasport,Televizyon,2150,bicaps,Bitki,1300,arkadaşım hoşgeldin,TV programı,4550,agario,Video oyunu,3550,kısmetse olur,Gülden Karaböcek'in şarkısı,600,gece gölgenin rahatına bak,Çağatay Akman'ın şarkısı,450,facebook hoşgeldin,Oyuncu,750,kandilli rasathanesi,"İstanbul, Türkiye'de bir rasathane",450,yarınki hava durumu,,5750,dogecoin,Kripto para,2350,öba,İsveç'te bir şehir,1700
morpa kampüs,Yazılım,600,yandex,Yandex,1700,legend online,Video oyunu,550,recep ivedik 4,2014 yapımı film,1750,agarz,Video oyunu,2650,edevlet giriş,e-Devlet,550,içerde son bölüm,Televizyon dizisi,250,çukur son bölüm,TV kanalı,700,son depremler,Afet türü,200,coronavirus,Virüs,5400,exxen,Yazılım,1600,dünya kupası,Futbol ligi,650
trendyol,Özel şirket,550,tubidy,Müzik,800,outlook,Web sitesi,450,onedio,"Ankara, Türkiye'de bir medya şirketi",1100,facebook giriş yap,Meta,1050,kismetse olur,"Film, 1998",400,instagram giriş,Dondurma,250,dünya kupası,Futbol ligi,650,seçim sonuçları,2019,190,corona belirtileri,Enfeksiyöz ajan türü,3150,binance,Türkiye,1600,hektaş hisse,Hisse senedi,250
grupfoni,Grupfoni,500,vip dükkan,Şirket,550,sözcü,Gazete,350,ysk,Mutfak eşyaları,1050,fuat avni,fuatavni,350,iphone 7,Bilgisayar,300,son depremler,Afet türü,200,youtube mp3 donustusturucu,Yazılım,600,beinsport,TV ağı,170,fahrettin koca,Türkiye Sağlık Bakanı,2400,ssstiktok,SSS,1300,iphone 13 pro max,Bilgisayar,200
e devlet,Türkiye,500,youtube mp3,İnternet sitesi,450,amk,Gazete,300,irem derici,Şarkıcı,400,hızlı ve öfkeli 7,2015 yapımı film,300,garanti internet bankacılığı,Banka,300,edevlet giriş,e-Devlet,110,ceyrek altin ne kadar,Kurgusal nesne,500,netflix,Şirket,170,hes kodu alma,SMS,1850,selçukspor,Futbol takımı,850,trt1 canlı,Televizyon kanalı,180
edevlet,Türkiye,450,dizimag,Sezon,450,kliksa,Teknosa,300,dailymotion,Şirket,300,dizibox,Televizyon,250,android oyun club,Video oyunu,250,haber 7,Haber 7,110,çukur,Dizi,350,süperlig,Sezon,120,zoom,Yazılım,1050,sedat peker,Youtuber,850,weather,Hava Durumu,150
wolfteam,Video oyunu,450,kim milyoner olmak ister,TV programı,300,tozlu giyim,Elbise,250,izlesene,Web sitesi,250,niloya,Müzisyen,250,fesbuk giriş,Şirket,250,hm,Devlet dairesi,100,seçim sonuçları,2019,250,justin tv,Justin.tv,110,savefrom.net,,950,coinmarketcap,Madenî Para,550,dolar/tl,Para Birimi,130
markofoni,Özel şirket,250,transformice,Video oyunu,300,youtube dönüştürücü,Yazılım,180,izlesene müzik,Web sitesi,250,tv8,TV kanalı,250,eba,Şirket,250,netspor,"Cary, Kuzey Carolina'da bir spor kulübü",90,dolar kuru,Merkez Bankası,250,namaz vakitleri,Yazılım,100,eba giriş,EBA,900,bitcoin kaç dolar,Para Birimi,550,obilet,Obilet,120
limango,Şirket,200,arsız bela,İndirme,300,youtube mp3 dönüştürücü,Yazılım,160,medcezir,Dizi,250,eba,Şirket,200,türk telekom,Şirket,250,trivago,Otel,90,canlı döviz,Yazılım,250,ziraat bankası,Banka,100,eba öğrenci girişi,Ders,650,paribu,"İstanbul, Türkiye'de bir finans kurumu",500,fed faiz kararı,Banka,120
sahibinden com,İnternet sitesi,200,morhipo,Şirket,300,ask fm,Ask.fm,150,google çeviri,İnternet sitesi,190,onedio,"Ankara, Türkiye'de bir medya şirketi",200,facebook giris,"Erzurum, Türkiye'de bir üniversite bölümü",250,modaselvim,ModaSelvim,90,hepsi burada,İnternet sitesi,250,ptt kargo,Yük,90,eba,Şirket,600,taraftarium 24,Televizyon,400,e devlet giriş,İnternet sitesi,120
ttnet müzik,Muud,200,pepe,Eski Brezilya Spor Bakanı,200,foursquare,Sosyal ağ,120,instagram,Yazılım,180,facebook giriş,Kaan Gülten tarafından yazılan kitap,200,eşkiya dünyaya hükümdar olmaz son bölüm,Dizi,200,garanti internet bankacılığı,Banka,90,döviz kurları,Yazılım,200,altın in,Kitap,80,e nabız,İnternet sitesi,300,euro 2020,Spor ligi sezonu,400,vavacars,Şirket,120
twitter,Şirket,190,kuzey güney,TV programı,190,mhrs,Yazılım,120,ınstagram,Gıda,170,happy wheels,Video oyunu,190,eşkiya dünyaya hükümdar olmaz,Dizi,200,süper lig puan durumu,2019-20 Süper Lig,80,ufak tefek cinayetler,TV dizisi,200,bmw,Otomobil markası,80,brawl stars,Video oyunu,200,selçuksports,Televizyon,350,superlig,Futbol ligi,100
markafoni,Özel şirket,170,acunn,Youtube kanalı,170,odatv,Web sitesi,120,aliexpress,Amazon,150,e okul veli,Okul,180,tjk sonuç,Türkiye Jokey Kulübü,190,whatsapp web,Şarkı,80,facebok giriş,Sosyal ağ,200,aras kargo takip,Yük,80,xiaomi redmi note 8,Xiaomi Redmi Note 8 (2019),190,postegro,World Wide Web,350,sasa hisse,Eski futbolcu,100
friv,Friv,160,f acebook,Şirket,170,dizimag,Sezon,100,rotahaber,Yazar,150,sungurlar,Televizyon dizisi,180,ziraat internet bankacılığı,İnternet bankacılığı,190,dolar kuru,Merkez Bankası,80,dolar,Para Birimi,170,ptt kargo takip,Yük,80,web whatsapp,Şarkı,170,bitcoin,Kripto para,300,ssstiktok,SSS,90
öyle bir geçer zamanki,Meslek,150,www.google.com,World Wide Web,160,omegle,İnternet sitesi,100,n11,İnternet sitesi,130,lig tv maç özetleri,Yazılım,160,e devlet giriş,İnternet sitesi,180,memurlar net,Web sitesi,70,gitti gidiyor,Şirket,170,gratis,Gratis,70,iphone 11,Apple iPhone 11,160,selcuksports,Futbol takımı,300,liverpool,Futbol takımı,90
