title_2011,type_2011,value_2011,title_2012,type_2012,value_2012,title_2013,type_2013,value_2013,title_2014,type_2014,value_2014,title_2015,type_2015,value_2015,title_2016,type_2016,value_2016,title_2017,type_2017,value_2017,title_2018,type_2018,value_2018,title_2019,type_2019,value_2019,title_2020,type_2020,value_2020,title_2021,type_2021,value_2021,title_2022,type_2022,value_2022
Muhteşem Yüzyıl,TV dizisi,1200.0,Ask.fm,Konu,2600.0,2014,Konu,1800.0,Kiraz Mevsimi,Dizi,13400.0,Kiralık Aşk,TV dizisi,17100,2017,Konu,4450.0,2018,Konu,3250,Sen Anlat Karadeniz,Televizyon dizisi,11750.0,2020,Konu,2800.0,Koronavirüs,Virüs,34350,2022,Konu,2450,2023,Konu,1900.0
2012,Konu,950.0,YouTube-MP3,İnternet sitesi,900.0,2013,Konu,600.0,Recep İvedik 4,2014 yapımı film,2050.0,Agar.io,Video oyunu,10600,Bir Garip Aşk,TV programı,900.0,2017,Konu,1400,2019,Konu,3450.0,2019,Konu,800.0,COVID-19,Hastalık,19550,Binance,Konu,1350,2022,Konu,1150.0
Acun Ilıcalı,Televizyon sunucusu,800.0,2012,Konu,550.0,Sözcü,Gazete,300.0,2014,Konu,600.0,Güneşin Kızları,Komedi-drama dizisi,9700,2016,Konu,800.0,Lisans Yerleştirme Sınavı,Konu,1200,2018,Konu,950.0,Deprem,Afet türü,300.0,Sokağa çıkma yasağı,Konu,11950,2021,Konu,1200,Dünya Kupası,Futbol ligi,900.0
2011,Konu,550.0,Transformice,Video oyunu,250.0,Minecraft,Video oyunu,200.0,Seçim,Konu,550.0,2015,Konu,650,Türk Telekom,Şirket,250.0,Okul Yönetim Sistemi,Konu,750,Çukur,Dizi,350.0,Google Arama,Web sitesi,90.0,2021,Konu,1400,Madenî Para,Konu,1200,Dünya,Toplum,350.0
e-Devlet,Türkiye,550.0,Morhipo,Şirket,250.0,O Ses Türkiye,TV programı,120.0,Dailymotion,Şirket,250.0,TV8,TV kanalı,250,EBA,Konu,250.0,At,Hayvan,400,Seçim,Konu,180.0,BMW,Otomobil markası,80.0,Virüs,Enfeksiyöz ajan türü,1200,Bitcoin,Kripto para,350,Kamu Personeli Seçme Sınavı,Konu,110.0
Trendyol,Özel şirket,550.0,Samsung Galaxy,Ürün hattı,200.0,Google Arama,Web sitesi,90.0,Recep İvedik,Film serisi,200.0,Survivor,TV programı,140,Kamu Personeli Seçme Sınavı,Konu,190.0,Hizmet,Konu,300,Döviz kuru,Konu,170.0,Seçim,Konu,70.0,2020,Konu,750,Aşı,İlaç sınıfı,300,Tatil,Konu,80.0
Wolfteam,Video oyunu,500.0,Kuzey Güney,TV programı,190.0,Tumblr,Sosyal ağ,80.0,Instagram,Konu,200.0,ABD Doları,Para Birimi,120,Eşkıya Dünyaya Hükümdar Olmaz,Dizi,190.0,İkinci el,Konu,200,ABD Doları,Para Birimi,150.0,Huawei,Konu,60.0,EBA,Konu,700,Açık Öğretim Lisesi,Konu,150,Maaş,Konu,70.0
Markafoni Ltd.,Şirket,200.0,Global E-Ticaret Bilisim Hizmetleri A.S.,Şirket,160.0,Omegle,İnternet sitesi,70.0,İzlesene.com,Web sitesi,190.0,Son Dakika Haberi,Konu,90,İnternet bankacılığı,Konu,140.0,Aşk,Konu,200,Dünya,Toplum,150.0,Ezan,Konu,50.0,Maske,Konu,350,MHRS,Yazılım,140,"Ölçme, Seçme ve Yerleştirme Merkezi","Ankara, Türkiye'de bir devlet dairesi",60.0
Muud,Konu,190.0,Acun Ilıcalı,Televizyon sunucusu,120.0,Ask.fm,Konu,70.0,Medcezir,Dizi,180.0,WhatsApp,Yazılım,80,Müzik indirme,Konu,60.0,Gün,Birim zaman,180,Para Birimi,Konu,120.0,Fox,TV kanalı,50.0,e-Nabız,İnternet sitesi,300,ABD Doları,Para Birimi,120,Bilet,Konu,60.0
Limango,Şirket,190.0,Android,İşletim sistemi,120.0,Google,Şirket,60.0,Kamu Personeli Seçme Sınavı,Konu,110.0,A101,Şirket,80,TJK TV,Konu,50.0,Pegasus Hava Yolları,Havayolu şirketi,160,Euro,Para Birimi,80.0,Süper Lig,Futbol ligi,50.0,Survivor Türkiye,TV programı,200,Beşiktaş,Futbol takımı,110,Otobüs,Taşıma hizmeti türü,50.0
