title_2011,type_2011,value_2011,title_2012,type_2012,value_2012,title_2013,type_2013,value_2013,title_2014,type_2014,value_2014,title_2015,type_2015,value_2015,title_2016,type_2016,value_2016,title_2017,type_2017,value_2017,title_2018,type_2018,value_2018,title_2019,type_2019,value_2019,title_2020,type_2020,value_2020,title_2021,type_2021,value_2021,title_2022,type_2022,value_2022
Facebook,Sosyal ağ,100,Facebook,Sosyal ağ,100,Facebook,Sosyal ağ,100,Facebook,Sosyal ağ,100,Facebook,Sosyal ağ,100,Facebook,Sosyal ağ,100,Facebook,Sosyal ağ,100.0,YouTube,Şirket,100,Hava Durumu,Konu,100,Hava Durumu,Konu,100,Hava Durumu,Konu,100,Hava Durumu,Konu,100
Oyun,Konu,25,YouTube,Şirket,24,YouTube,Şirket,24,YouTube,Şirket,33,YouTube,Şirket,37,YouTube,Şirket,48,YouTube,Şirket,72.0,Facebook,Sosyal ağ,97,YouTube,Şirket,79,Fiyat,Konu,81,Fiyat,Konu,76,Fiyat,Konu,72
YouTube,Şirket,14,Oyun,Konu,22,Oyun,Konu,16,Google,Şirket,18,İndirme,Konu,19,İndirme,Konu,31,Hava Durumu,Konu,42.0,Hava Durumu,Konu,90,Fiyat,Konu,70,YouTube,Şirket,69,Çeviri,Konu,63,Çeviri,Konu,59
Mynet,İnternet sitesi,12,İndirme,Konu,12,Google,Şirket,11,Oyun,Konu,18,Google,Şirket,18,Haber,Konu,28,Haber,Konu,38.0,Fiyat,Konu,76,Facebook,Sosyal ağ,63,Çeviri,Konu,67,ABD Doları,Para Birimi,60,ABD Doları,Para Birimi,43
İndirme,Konu,12,Mynet,İnternet sitesi,12,Film,Konu,10,İndirme,Konu,15,Film,Konu,16,Google,Şirket,24,2017,Konu,35.0,Haber,Konu,65,Çeviri,Konu,59,2020,Konu,54,Altın,Element,51,2022,Konu,42
Film,Konu,10,Film,Konu,11,İndirme,Konu,10,Film,Konu,14,Haber,Konu,16,Fiyat,Konu,24,Fiyat,Konu,35.0,2018,Konu,63,Haber,Konu,57,Haber,Konu,50,YouTube,Şirket,48,Altın,Element,42
sahibinden.com,İnternet sitesi,10,sahibinden.com,İnternet sitesi,10,sahibinden.com,İnternet sitesi,9,Google Arama,Web sitesi,13,Oyun,Konu,15,Hava Durumu,Konu,24,Film,Konu,31.0,Çeviri,Konu,53,2019,Konu,54,Türkçe,İnsan dili,45,Türkçe,İnsan dili,41,Türkçe,İnsan dili,35
e-Okul,Konu,9,e-Okul,Konu,9,Outlook.com,Web sitesi,9,sahibinden.com,İnternet sitesi,13,Google Arama,Web sitesi,15,Türkçe,İnsan dili,23,Çeviri,Konu,31.0,Film,Konu,52,Türkçe,İnsan dili,52,Altın,Element,44,2021,Konu,40,YouTube,Şirket,33
Okul,Konu,9,Outlook.com,Web sitesi,9,Google Arama,Web sitesi,9,Haber,Konu,11,sahibinden.com,İnternet sitesi,14,Film,Konu,23,Türkçe,İnsan dili,26.0,Türkçe,İnsan dili,49,Film,Konu,46,Facebook,Sosyal ağ,40,e-Devlet,Türkiye,35,Türk Lirası,Para Birimi,33
Outlook.com,Web sitesi,8,Okul,Konu,9,Mynet,İnternet sitesi,8,Outlook.com,Web sitesi,11,Fiyat,Konu,13,Çeviri,Konu,19,İndirme,Konu,26.0,sahibinden.com,İnternet sitesi,40,İstanbul,Türkiye'de bir şehir,42,EBA,Konu,40,Haber,Konu,34,e-Devlet,Türkiye,28
Türkçe,İnsan dili,8,Türkçe,İnsan dili,8,e-Okul,Konu,8,Türkçe,İnsan dili,11,Türkçe,İnsan dili,13,sahibinden.com,İnternet sitesi,19,sahibinden.com,İnternet sitesi,25.0,ABD Doları,Para Birimi,38,ABD Doları,Para Birimi,38,Twitter,Sosyal ağ hizmetleri,37,Türk Lirası,Para Birimi,33,İstanbul,Türkiye'de bir şehir,28
Haber,Konu,7,Milliyet,Gazete,8,Okul,Konu,8,Okul,Konu,10,Okul,Konu,11,Oyun,Konu,18,Google,Şirket,25.0,İndirme,Konu,36,sahibinden.com,İnternet sitesi,34,Film,Konu,36,Twitter,Sosyal ağ hizmetleri,30,Haber,Konu,24
Gazete,Konu,7,Google,Şirket,7,Türkçe,İnsan dili,7,e-Okul,Konu,10,Outlook.com,Web sitesi,11,Google Arama,Web sitesi,16,Oyun,Konu,21.0,İstanbul,Türkiye'de bir şehir,35,Twitter,Şirket,33,Twitter,Şirket,35,Twitter,Şirket,30,Film,Konu,24
Milliyet,Gazete,7,Haber,Konu,7,Haber,Konu,7,Fiyat,Konu,9,Hava Durumu,Konu,11,Türkiye,Orta Doğu'da bir ülke,15,İstanbul,Türkiye'de bir şehir,20.0,Google,Şirket,34,Instagram,Konu,32,e-Devlet,Türkiye,34,İstanbul,Türkiye'de bir şehir,28,Namaz,Konu,23
Video,Film formatı,6,Gazete,Konu,6,Milliyet,Gazete,7,Mynet,İnternet sitesi,9,e-Okul,Konu,11,Okul,Konu,15,Okul,Konu,17.0,Instagram,Konu,34,Twitter,Sosyal ağ hizmetleri,32,Instagram,Konu,34,Türkiye,Orta Doğu'da bir ülke,27,Türkiye,Orta Doğu'da bir ülke,23
Hürriyet,Gazete,6,Fiyat,Konu,6,Twitter,Şirket,6,Milliyet,Gazete,9,Çeviri,Konu,10,İstanbul,Türkiye'de bir şehir,14,Instagram,Konu,16.0,e-Devlet,Türkiye,31,Türkiye,Orta Doğu'da bir ülke,31,sahibinden.com,İnternet sitesi,33,Film,Konu,26,Zaman,Boyut,21
Fiyat,Konu,6,Hürriyet,Gazete,6,Twitter,Sosyal ağ hizmetleri,6,Çeviri,Konu,8,Mynet,İnternet sitesi,10,2016,Konu,12,Rüya,Konu,16.0,Oyun,Konu,29,Google,Şirket,31,ABD Doları,Para Birimi,32,Instagram,Konu,25,Saat,Ölçü aleti,20
Otomobil,Ulaşım şekli,6,Google Arama,Web sitesi,5,Fiyat,Konu,6,Hürriyet,Gazete,7,Milliyet,Gazete,8,e-Okul,Konu,12,Ankara,Türkiye'nin başkenti,15.0,Mynet,İnternet sitesi,27,İndirme,Konu,30,Türkiye,Orta Doğu'da bir ülke,31,sahibinden.com,İnternet sitesi,24,Rüya,Konu,19
Şarkı,Beste türü,6,Twitter,Şirket,5,Hürriyet,Gazete,5,Twitter,Sosyal ağ hizmetleri,7,Türkiye,Orta Doğu'da bir ülke,8,Rüya,Konu,11,Hürriyet,Gazete,14.0,Türkiye,Orta Doğu'da bir ülke,27,Ankara,Türkiye'nin başkenti,29,İstanbul,Türkiye'de bir şehir,30,Facebook,Sosyal ağ,24,sahibinden.com,İnternet sitesi,19
Türkiye,Orta Doğu'da bir ülke,5,Twitter,Sosyal ağ hizmetleri,5,Gazete,Konu,5,Twitter,Şirket,7,Hürriyet,Gazete,8,Milliyet,Gazete,11,Türkiye,Orta Doğu'da bir ülke,14.0,Rüya,Konu,27,Rüya,Konu,27,İndirme,Konu,30,Namaz,Konu,24,Ankara,Türkiye'nin başkenti,19
Google,Şirket,5,Otomobil,Ulaşım şekli,5,Otomobil,Ulaşım şekli,4,Gazete,Konu,6,Otomobil,Ulaşım şekli,7,Outlook.com,Web sitesi,11,Mynet,İnternet sitesi,14.0,Altın,Element,26,Altın,Element,26,Zaman,Boyut,27,Zaman,Boyut,23,Instagram,Konu,19
.tr,Üst seviye alan adı,4,Video,Film formatı,5,Türkiye,Orta Doğu'da bir ülke,4,Otomobil,Ulaşım şekli,6,İstanbul,Türkiye'de bir şehir,7,Otomobil,Ulaşım şekli,11,Milliyet,Gazete,14.0,Ankara,Türkiye'nin başkenti,26,Otomobil,Ulaşım şekli,25,Google,Şirket,27,WhatsApp,Yazılım,22,Twitter,Sosyal ağ hizmetleri,18
