make_model_ordinal,body_type_ordinal,price,km,type_ordinal,previous_owners,fuel_ordinal,inspection_new,drive_chain,co2_emission,gears,age,hp_kW,upholstery_type_ordinal,gearing_type_ordinal,displacement_cc,weight_kg,comb_consumption,comfort_convenience_package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled
0,0,15770,56013.0,0,2.0,0,1,2,99.0,7.0,3.0,66.0,0,0,1422.0,1220.0,3.8,0,3,0,0
0,0,14500,80000.0,0,2.0,1,0,2,129.0,7.0,2.0,141.0,0,0,1798.0,1255.0,5.6,2,4,0,0
0,0,14640,83450.0,0,1.0,0,0,2,99.0,7.0,3.0,85.0,0,0,1598.0,1135.0,3.8,0,2,0,1
0,0,14500,73000.0,0,1.0,0,0,2,99.0,6.0,3.0,66.0,0,0,1422.0,1195.0,3.8,2,3,0,0
0,0,16790,16200.0,0,1.0,0,1,2,109.0,7.0,3.0,66.0,0,0,1422.0,1135.0,4.1,0,4,0,0
0,0,15090,63668.0,0,1.0,0,0,2,92.0,7.0,3.0,85.0,1,0,1598.0,1135.0,3.5,0,4,0,0
0,1,16422,62111.0,0,1.0,0,1,2,98.0,7.0,3.0,85.0,1,0,1598.0,1195.0,3.7,2,4,0,0
0,2,14480,14986.0,0,1.0,0,1,2,97.0,7.0,3.0,66.0,0,0,1422.0,1180.0,3.7,2,1,0,1
0,0,16700,57000.0,0,1.0,0,0,2,97.0,7.0,3.0,85.0,0,0,1598.0,1275.0,3.7,2,1,0,1
0,0,17990,16103.0,0,1.0,1,0,2,104.0,7.0,2.0,70.0,0,0,999.0,1135.0,4.6,2,1,0,1
0,0,18500,11300.0,0,1.0,0,0,2,105.0,7.0,1.0,85.0,0,0,1598.0,1250.0,4.0,2,2,0,0
0,0,17990,26415.0,0,1.0,1,1,2,112.0,7.0,3.0,92.0,0,0,1395.0,1135.0,4.9,0,2,0,0
0,0,18380,31600.0,0,1.0,1,0,2,112.0,7.0,3.0,92.0,1,0,1395.0,1135.0,4.9,0,6,0,0
0,0,18399,45764.0,0,1.0,1,0,2,104.0,7.0,3.0,112.0,1,0,1395.0,1135.0,4.6,2,3,0,1
0,0,17990,34914.0,0,1.0,1,0,2,99.0,7.0,3.0,70.0,0,0,999.0,1135.0,4.2,0,3,0,0
